Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1,1,PHI,Jay Berwanger,B,"",Chicago
1,2,BOS,Riley Smith,BB,25,Alabama
1,3,PIT,Bill Shakespeare,B,"",Notre Dame
1,4,BKN,Dick Crayne,FB,23,Iowa
1,5,CRD,Jimmy Lawrence,WB,23,TCU
1,6,CHI,Joe Stydahar HOF,T,24,West Virginia
1,7,GNB,Russ Letlow,G,22,San Francisco
1,8,DET,Sid Wagner,G,23,Michigan St.
1,9,NYG,Art Lewis,T,25,Ohio
2,10,PHI,John McCauley,B,"",Rice
2,11,BOS,Keith Topping,E,"",Stanford
2,12,PIT,Len Barnum,B,23,West Virginia Wesleyan
2,13,BKN,Vernal (Babe) LeVoir,B,"",Minnesota
2,14,CHI,Eddie Michaels,G,22,Villanova
2,15,CRD,Gomer Jones,C,"",Ohio St.
2,16,GNB,J.W. Wheeler,T,"",Oklahoma
2,17,DET,Chuck Cheshire,B,"",UCLA
2,18,NYG,Tuffy Leemans HOF,FB,23,George Washington
3,19,PHI,Wes Muller,C,"",Stanford
3,20,BOS,Ed Smith,BB,23,NYU
3,21,PIT,Bobby Grayson,B,"",Stanford
3,22,BKN,Wagner Jorgensen,C,23,St. Mary's (CA)
3,23,CRD,Eddie Erdelatz,E,"",""
3,24,CHI,George Roscoe,B,"",Minnesota
3,25,GNB,Bernie Scherer,E,23,Nebraska
3,26,DET,Andy Pilney,B,"",Notre Dame
3,27,NYG,Frank (Butch) Loebs,E,"",Purdue
4,28,PHI,Bill Wallace,B,"",Rice
4,29,BOS,Paul Tangora,G,"",Northwestern
4,30,PIT,Truman Spain,T,"",SMU
4,31,BKN,Paul (Bear) Bryant,E,"",Alabama
4,32,CHI,Bob Allman,E,23,Michigan St.
4,33,CRD,Jeep Brett,E,22,Washington St.
4,34,GNB,Theron Ward,B,"",Idaho
4,35,DET,Sheldon Beise,B,"",Minnesota
4,36,NYG,Gene Rose,E,23,Tennessee
5,37,PHI,Harry Shuford,B,"",SMU
5,38,BOS,Wilson Groseclose,T,"",TCU
5,39,PIT,Dick Sandefur,FB,24,Purdue
5,40,BKN,Bobby Wilson,TB,23,SMU
5,41,CRD,Stan Riordan,E,"",Oregon
5,42,CHI,Verne Oech,G,23,Minnesota
5,43,GNB,Darrell Lester,C,22,TCU
5,44,DET,Kavanaugh Francis,C,"",Alabama
5,45,NYG,Ed Jontos,G,"",Syracuse
6,46,PHI,Al Barabas,B,"",Columbia
6,47,BOS,Larry Lutz,T,"",California
6,48,PIT,Maurice Orr,T,"",SMU
6,49,BKN,Joe Maniaci,B,22,Fordham
6,50,CHI,Ted Christofferson,B,"",Washington St.
6,51,CRD,Ettore Antonini,E,"",Indiana
6,52,GNB,Bob Reynolds,T,22,Stanford
6,53,DET,Abe Mickal,B,"",LSU
6,54,NYG,Gus Durner,T,"",Duke
7,55,PHI,Jack Weller,G,"",Princeton
7,56,BOS,Don Irwin,FB,23,Colgate
7,57,PIT,Marty Peters,E,"",Notre Dame
7,58,BKN,Herb Schreiber,B,"",""
7,59,CRD,Tack Dennis,B,"",Tulsa
7,60,CHI,Dick Smith,T,"",Minnesota
7,61,GNB,Wally Fromhart,B,"",Notre Dame
7,62,DET,Charlie Wasicek,T,"",Colgate
7,63,NYG,Bob Peeples,T,"",Marquette
8,64,PHI,Pepper Constable,B,"",Princeton
8,65,BOS,Wayne Millner HOF,E,23,Notre Dame
8,66,PIT,Ed Karpowich,T,23,Catholic
8,67,BKN,Bob (Bones) Hamilton,B,"",Stanford
8,68,CHI,John Sylvester,E,"",Rice
8,69,CRD,Ross Carter,G,22,Oregon
8,70,GNB,Wally Cruice,B,"",Northwestern
8,71,DET,Dale Rennebohm,C,"",Minnesota
8,72,NYG,Dick Heekin,B,"",Ohio St.
9,73,PHI,Paul Pauk,B,"",Princeton
9,74,BOS,Marcel Saunders,G,"",Loyola Marymount
9,75,PIT,Joe Meglen,B,"",""
9,76,BKN,Monk Moscrip,E,22,Stanford
9,77,CRD,Niels Larsen,T,"",Stanford
9,78,CHI,Danny Fortmann HOF,G,20,Colgate
9,79,GNB,J.C. Wetsel,G,"",SMU
9,80,DET,Bob (Choo-Choo) Train,E,"",Yale
9,81,NYG,Phil Flanagan,G,"",Holy Cross
